T_0554 T_0000078789 M - - - - bonafide bonafide -
T_1971 T_0000177020 M - - - - bonafide bonafide -
T_5033 T_0000086931 M - - - AC3 A07 spoof -
T_4104 T_0000180826 M - - - - bonafide bonafide -
T_0499 T_0000133795 F - - - - bonafide bonafide -
T_1752 T_0000163260 F - - - - bonafide bonafide -
T_5437 T_0000152464 F - - - - bonafide bonafide -
T_2782 T_0000089707 M - - - - bonafide bonafide -
T_0858 T_0000117830 M - - - AC2 A05 spoof -
T_4100 T_0000144265 F - - - - bonafide bonafide -
T_3703 T_0000167213 F - - - AC3 A08 spoof -
T_4121 T_0000015063 F - - - AC3 A06 spoof -
T_5401 T_0000175372 F - - - AC2 A05 spoof -
T_1976 T_0000032267 F - - - - bonafide bonafide -
T_3491 T_0000046816 M - - - AC2 A07 spoof -
T_3093 T_0000067205 F - - - - bonafide bonafide -
T_2098 T_0000081649 M - - - AC3 A08 spoof -
T_0170 T_0000062580 F - - - - bonafide bonafide -
T_5023 T_0000146982 M - - - - bonafide bonafide -
T_3912 T_0000083286 F - - - - bonafide bonafide -
T_1916 T_0000108791 F - - - - bonafide bonafide -
T_3027 T_0000128800 F - - - AC2 A08 spoof -
T_5029 T_0000105117 M - - - - bonafide bonafide -
T_3903 T_0000070983 F - - - - bonafide bonafide -
T_0497 T_0000083968 M - - - - bonafide bonafide -
T_1255 T_0000087809 F - - - - bonafide bonafide -
T_4264 T_0000162678 M - - - - bonafide bonafide -
T_0622 T_0000092393 F - - - AC2 A08 spoof -
T_0934 T_0000143411 M - - - AC2 A05 spoof -
T_4125 T_0000173509 F - - - - bonafide bonafide -
T_1961 T_0000180164 F - - - AC2 A05 spoof -
T_1183 T_0000015916 M - - - AC3 A08 spoof -
T_5331 T_0000149705 F - - - - bonafide bonafide -
T_0519 T_0000137849 M - - - - bonafide bonafide -
T_4447 T_0000064011 M - - - - bonafide bonafide -
T_0519 T_0000085515 M - - - AC3 A04 spoof -
T_4463 T_0000082845 M - - - - bonafide bonafide -
T_4519 T_0000172556 M - - - - bonafide bonafide -
T_0664 T_0000067983 M - - - - bonafide bonafide -
T_0622 T_0000021135 F - - - - bonafide bonafide -
T_0925 T_0000112639 M - - - - bonafide bonafide -
T_3307 T_0000024061 F - - - - bonafide bonafide -
T_3683 T_0000157959 F - - - - bonafide bonafide -
T_3405 T_0000094281 F - - - - bonafide bonafide -
T_4264 T_0000107458 M - - - - bonafide bonafide -
T_2101 T_0000162203 F - - - - bonafide bonafide -
T_3405 T_0000133738 F - - - AC2 A02 spoof -
T_5331 T_0000065716 F - - - AC3 A06 spoof -
T_4059 T_0000084979 M - - - - bonafide bonafide -
T_0858 T_0000050283 M - - - AC3 A01 spoof -
T_5451 T_0000038110 F - - - - bonafide bonafide -
T_5438 T_0000020768 M - - - AC2 A05 spoof -
T_5184 T_0000071414 M - - - - bonafide bonafide -
T_3782 T_0000101834 F - - - - bonafide bonafide -
T_0141 T_0000162023 F - - - AC3 A06 spoof -
T_3816 T_0000130538 F - - - - bonafide bonafide -
T_3996 T_0000037186 F - - - - bonafide bonafide -
